Syntax version=4
Thu Jun 01 13:14:25 2023
Starting process (10000000 clocks per sec)

LogRawData=false
VarHeader=1
D:		voltage_adc3[0]	voltage_adc3[1]	voltage_adc3[2]	voltage_adc3[3]	voltage_adc3[4]	voltage_adc3[5]	voltage_adc3[6]	voltage_adc5[0]	voltage_adc5[5]	voltage_adc5[6]	voltage_adc5[7]
D:	time(ms)	(0x20000064,6)	(0x20000068,6)	(0x2000006c,6)	(0x20000070,6)	(0x20000074,6)	(0x20000078,6)	(0x2000007c,6)	(0x20000084,6)	(0x20000098,6)	(0x2000009c,6)	(0x200000a0,6)
D:	0.23	2.590332	2.673340	2.532959	0.861816	2.587891	2.731934	2.668457	2.639160	2.593994	2.620850	2.612305
D:	1.60	2.590332	2.673340	2.531738	0.861816	2.587891	2.731934	2.668457	2.639160	2.593994	2.620850	2.612305
D:	2.77	2.590332	2.673340	2.531738	0.861816	2.587891	2.731934	2.667236	2.637939	2.593994	2.620850	2.612305
D:	4.06	2.590332	2.673340	2.531738	0.861816	2.586670	2.730713	2.667236	2.637939	2.593994	2.620850	2.612305
D:	5.45	2.590332	2.672119	2.531738	0.860596	2.586670	2.730713	2.667236	2.637939	2.593994	2.620850	2.612305
D:	6.71	2.589111	2.672119	2.530518	0.860596	2.586670	2.730713	2.667236	2.637939	2.592773	2.619629	2.612305
D:	8.05	2.589111	2.672119	2.530518	0.859375	2.585449	2.729492	2.667236	2.637939	2.592773	2.619629	2.612305
D:	9.29	2.589111	2.672119	2.530518	0.859375	2.585449	2.729492	2.666016	2.637939	2.591553	2.619629	2.612305
